title;published_date;author;description;price;weeks_on_list
FANTASYLAND;2017-09-24;Kurt Andersen;The politics and culture of 21st-century America are put in the context of five centuries of historical events and movements, including elements of conspiracy theories, crackpot ideas and hucksterism.;nan;1
FASCISM: A Warning;2018-04-29;Madeleine Albright with Bill Woodward;The former secretary of state examines the legacy of fascism in the 20th century and its potential revival.;nan;4
FAST AND LOOSE;2017-05-07;Stuart Woods;In the 41st Stone Barrington novel, the New York attorney acquires a ruthless, hot-headed enemy.;nan;1
FAST GIRL;2015-10-04;Suzy Favor Hamilton with Sarah Tomlinson;Bipolar disorder drove a former Olympic runner to become a high-priced Las Vegas escort.;nan;1
FAST TRACK;2014-08-17;Julie Garwood;A woman faces threats as she searches for the truth about her long-dead mother, aided by her best friend’s attractive older brother.;nan;1
FAT CHANCE;2013-01-27;Robert H Lustig;A course of action for beating the odds against sugar, processed food, obesity and disease.;25.95;2
FATAL BURN;2016-02-21;Lisa Jackson;A former Special Forces agent is convinced that a woman’s dark past has something to do with the disappearance of his daughter.;nan;2
FATAL FRIENDS, DEADLY NEIGHBORS;2012-12-16;Ann Rule;The 16th collection in the Crime Files true-crime series.;7.99;1
FATAL IDENTITY;2016-08-14;Marie Force;A lieutenant investigates a snatched-baby cover-up.;nan;1
FATE OF THE JEDI: APOCALYPSE;2012-04-01;Troy Denning;Jedi and Sith reach the endgame in the finale of the Fate of the Jedi series | a “Star Wars” novel.;27.0;1
FEAR;2018-09-30;Bob Woodward;Based on hours of interviews with sources, the Pulitzer Prize-winning journalist describes debates and decision-making within the Trump White House.;nan;10
FEAR AGENT: LIBRARY EDITION, VOL. 2;2014-04-13;Rick Remender, Tony Moore and others;The second half of this sci-fi adventure series is collected here. Can Heath Huston and his Fear Agents save Earth from alien infestations and would-be robotic conquerors?;nan;3
FEAR ITSELF;2012-02-05;Matt Fraction and Stuart Immonen;Sin, the daughter of the Red Skull, has unleashed an old evil, one that preys on fear. How can the Avenger combat a global malaise.;34.99;3
FEAR NOTHING;2014-01-26;Lisa Gardner;The Boston detective D. D. Warren, seriously injured at a crime scene, is treated by a pain therapist whose father was a serial killer.;nan;1
FEARED;2018-09-02;Lisa Scottoline;Mary DiNunzio and Bennie Rosato must solve a murder and handle a reverse sex discrimination suit against their firm.;nan;1
FEAST DAY OF FOOLS;2011-10-16;James Lee Burke;Danger increases tenfold as Sheriff Hackberry Holland investigates a case in the desert.;26.99;1
FERVENT;2015-10-04;Priscilla Shirer;nan;nan;2
FESTIVE IN DEATH;2014-09-28;J D Robb;At Christmas, Lt. Eve Dallas investigates the murder of a narcissistic personal trainer | by Nora Roberts, writing pseudonymously.;nan;4
FEVER;2013-04-21;Maya Banks;Jace, Ash and Gabe are powerful and used to getting anything they want. But Jace’s friendship with Ash is jeopardized when he becomes obsessed with an alluring woman | Book 2 of the Breathless trilogy.;15.0;1
FEVER DREAM;2010-05-30;Lincoln Child and Douglas Preston;The F.B.I. agent Aloysius Pendergast, who has long thought that his wife was killed in an accident, learns that she was actually murdered.;26.99;1
FEVER MOON;2012-07-29;Karen Marie Moning and David Lawrence;"The world set up in Karen Marie Moning’s ""Fever"" series, about MacKayla Lane who is investigating the death of her sister, is further explored. It is set in Ireland and involves fairies.";25.0;3
FEVERBORN;2016-02-07;Karen Marie Moning;Solving an ancient riddle to prevent the Earth from vanishing on the streets of a dangerously magical Dublin | a Fever novel.;nan;1
FEVERSONG;2017-02-05;Karen Marie Moning;A group of superhuman beings fight to save Dublin (and humanity) | the conclusion of the Fever series.;nan;1
FEYNMAN;2011-09-18;Jim Ottaviani and Leland Myrick;This is a biography about the physicist Richard P. Feynman, who was a leader in the field of quantum electrodynamics.;29.99;5
FIELD OF PREY;2014-05-25;John Sandford;Lucas Davenport investigates when multiple bodies are found in the middle of the Minnesota cornfields.;nan;4
FIERCE;2017-12-03;Aly Raisman;nan;nan;1
FIFTY FIFTY;2018-03-11;James Patterson and Candice Fox;Detective Harriet Blue tries to clear her brother's name and save a small Australian town from being massacred.;nan;2
FIFTY SHADES DARKER;2012-03-25;E L James;Ana Steele learns more about Christian Grey’s troubled past | the second book in a trilogy.;15.95;109
FIFTY SHADES FREED;2012-03-25;E L James;The final book in an erotic trilogy.;15.95;101
FIFTY SHADES OF CHICKEN;2012-12-30;FL Fowler;A parody in a cookbook.;19.99;7
FIFTY SHADES OF GREY;2012-03-18;E L James;An inexperienced college student falls in love with a tortured man who has particular sexual tastes | the first book in a trilogy.;19.99;147
FIFTY SHADES TRILOGY;2012-05-27;E L James;"The three ""Fifty Shades"" novels in one bundle.";nan;27
FIGHT CLUB 2;2016-07-17;Chuck Palahniuk and Cameron Stewart;In this sequel to the 1996 novel, Tyler Durden re–emerges to once again create mayhem.;nan;27
FIGURING;2019-02-24;Maria Popova;The achievements and private relationships of several interconnecting historical figures.;nan;1
FILTHY RICH;2016-10-30;James Patterson and John Connolly with Tim Malloy;The story of a South Florida financier convicted of soliciting sex from underage girls.;nan;2
FINAL CRISIS;2010-06-27;Grant Morrison, J G Jones, Carlos Pacheco and Doug Mahnke;The heroes of the DC Universe have their backs against the wall in this event storyline which features a much-publicized “death,” a surprising rebirth and bits and pieces of Morrison brilliance.;19.99;6
FINAL EXAM;2014-11-02;Pauline W Chen;A surgeon reflects on Mortality.;nan;0
FINAL OPTION;2019-11-24;Clive Cussler and Boyd Morrison;The 14th book of the Oregon Files series. Juan Cabrillo’s enemy has replicated a state-of-the-art ship.;nan;1
FINANCIALLY FEARLESS;2014-01-19;Alexa Von Tobel;nan;nan;1
FIND HER;2016-02-28;Lisa Gardner;The detective D. D. Warren hunts for a missing woman who was kidnapped and abused as a student and may have become a vigilante.;nan;3
FIND ME;2019-11-17;André Aciman;Years after the events of “Call Me by Your Name,” Elio has become a classically trained pianist in Paris while Oliver is a New England college professor with a family.;nan;1
FIND ME UNAFRAID;2015-11-01;Kennedy Odede and Jessica Posner;The story of how in 2009 the authors founded the first tuition-free school for girls in Kibera, the largest slum in Africa.;nan;0
FINDER, VOL. 3;2011-05-01;Ayano Yamane;A photographer crosses paths with underworld and mafia leaders. Things then get even more complicated (and sexual) in this series, which is an example of yaoi (boy love) manga.;13.95;1
FINDER, VOL. 6;2012-08-12;Ayano Yamane;A photographer crosses paths with underworld and mafia leaders. Things then get even more complicated (and sexual) in this series, which is an example of yaoi (boy love) manga.;13.95;1
FINDER, VOL. 7;2015-02-01;Ayano Yamane;A photographer crosses paths with the underworld and mafia leaders. Things then get even more complicated (and sexual) in this series, which is an example of yaoi (boy love) manga.;nan;1
FINDERS KEEPERS;2015-06-21;Stephen King;A deranged reader’s infatuation with a Salingeresque novelist has dangerous and long-lasting consequences in a sequel to “Mr. Mercedes.”;nan;5
FINDING AUDREY;2015-06-28;Sophie Kinsella;Romance proves restorative for a bullied British teenager grappling with an anxiety disorder.;nan;1
FINDING CHIKA;2019-11-24;Mitch Albom;Lessons learned by the Alboms when they bring a Haitian orphan with a life-threatening illness into their family.;nan;2
FINDING GOBI;2017-09-03;Dion Leonard with with Craig Borlase;nan;nan;0
FINDING ME;2014-05-25;Michelle Knight with Michelle Burford Weinstein;The story of a woman kidnapped in Cleveland in 2002, then tortured, who escaped in 2013.;nan;9
FINDING THE UNCOMMON DEAL;2011-05-08;Adam Leitman Bailey;A New York lawyer explains how to buy a home for the lowest price.;19.95;1
FINDING WINNIE;2016-01-31;Lindsay Mattick;The origins of Pooh | the 2016 Caldecott recipient.;nan;11
FINERMAN'S RULES;2013-06-23;Karen Finerman;nan;nan;1
FINGER LICKIN’ FIFTEEN;2010-07-11;Janet Evanovich;The bounty hunter Stephanie Plum tracks a celebrity chef’s killer.;8.99;2
FIRE AND BLOOD;2018-12-02;George RR Martin;The first volume of the two-part history of the Targaryens in Westeros. Read by Simon Vance. 26 hours, 24 minutes unabridged.;nan;22
FIRE AND FURY;2018-01-21;Michael Wolff;A journalist offers an inside account of the first year of the Trump White House.;nan;16
FIRE BOUND;2016-05-15;Christine Feehan;A glassblower travels to Italy, where her bodyguard catches her eye.;nan;1
FIRE SHUT UP IN MY BONES;2014-11-02;Charles M Blow;A coming of age memoir that captures the formative turbulent early experiences of the New York Times columnist.;nan;0
FIRE TOUCHED;2016-03-27;Patricia Briggs;The shape-shifter Mercy Thompson and her Alpha werewolf mate, Adam, protect a stolen human child.;nan;1
FIRED UP;2010-01-17;Jayne Ann Krentz;A venture capitalist who believes he has inherited an ancestor’s psychic powers searches for an elusive artifact.;25.95;1
FIREFIGHT;2015-01-25;Brandon Sanderson;"A Reckoner enters the dangerous city of Babylon Restored | the sequel to ""Steelheart.""";nan;1
FIRST COMES LOVE;2016-07-17;Emily Giffin;Two sisters — one a successful lawyer with a small child and an unhappy marriage, the other a single teacher who yearns to be a mother — struggle toward forgiveness after 15 years of estrangement.;nan;5
FIRST DROP OF CRIMSON;2010-02-28;Jeaniene Frost;A woman’s survival depends on a powerful vampire who lusts for her.;7.99;1
FIRST FAMILY;2010-03-07;David Baldacci;Former Secret Service agents, now P.I.’s, search for a child abducted after a party at Camp David.;9.99;6
FIRST FROST;2015-02-08;Sarah Addison Allen;When a stranger shows up in Bascom, N.C., the Waverley women must make choices they have never confronted before.;nan;1
FIRST LOVE;2014-02-02;James Patterson and Emily Raymond;Sixteen-year-old Axi Moore invites her best friend, whom she secretly loves, on a cross-country road trip.;nan;3
FIRST SIGHT;2013-08-04;Danielle Steel;A talented American designer whose troubled past has soured her on relationships falls in love with a French doctor.;nan;4
FIRST STAR I SEE TONIGHT;2016-09-11;Susan Elizabeth Phillips;A former quarterback hires a detective to scope out the employees at his high-end nightclub.;nan;1
FIRST WOMEN;2016-05-01;Kate Andersen Brower;The 10 first ladies since 1960, based on interviews with White House staff, social secretaries and friends.;nan;1
FIRST, WE MAKE THE BEAST BEAUTIFUL;2018-07-01;Sarah Wilson;nan;nan;0
FIRSTHAND;2013-04-07;Ryan and Josh Shook;Two brothers discuss their struggles in finding a lasting Christian faith.;17.99;1
FIRSTLIFE;2016-03-13;Gena Showalter;nan;nan;1
FISH IN A TREE;2016-07-03;Lynda Mullaly Hunt;A new teacher helps a disruptive girl overcome her dyslexia.;nan;20
FIVE DAYS AT MEMORIAL;2013-10-06;Sheri Fink;nan;nan;0
FIVE DAYS IN NOVEMBER;2013-12-08;Clint Hill and Lisa McCubbin;Recollections from the Secret Service agent who tried to protect President Kennedy on Nov. 22, 1963, with 150 photographs. ;nan;1
FIVE FEET APART;2019-01-13;Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;Stella and Will are in love, but they can't get within five feet of each other.;nan;54
FIVE KINGDOMS;2015-04-05;Brandon Mull;A boy tries to find his way home after becoming trapped in a mysterious realm of the in-between.;nan;3
FIVE NIGHTS AT FREDDY'S: THE SILVER EYES;2016-10-16;Scott Cawthon and Kira Breed-Wrisley;nan;nan;15
FIVE PRESIDENTS;2016-06-05;Clint Hill with Lisa McCubbin;A retired Secret Service agent discusses his experience with presidents from Eisenhower to Ford.;nan;7
FLAME IN THE MIST;2017-06-04;Renée Ahdieh;A teenage aristocrat joins the warrior clan that tried to kill her.;nan;1
FLAMECASTER;2016-04-24;Cinda Williams Chima;nan;nan;2
FLAPPER;2014-12-07;Joshua Zeitz;The women of the 1920s whose rebellions against corseted Victorian style and the flaunting of short hemlines made America modern.;nan;0
FLASH AND BONES;2011-09-11;Kathy Reichs;A turbocharged case unfolds for the forensic anthropologist Temperance Brennan in the series behind the TV show “Bones.”;26.99;2
FLASH BOYS;2014-04-20;Michael Lewis;The world of high-frequency computer-driven trading, from the author of “Liar’s Poker.”;nan;5
FLASH FORESIGHT;2011-02-06;Daniel Burrus with John David Mann;How to solve business problems before they arrive.;27.99;1
FLASH OMNIBUS, VOL. 1;2011-06-12;Geoff Johns and others;It’s not easy being Flash: a cult is targeting everyone he has ever saved. Plus, a trip to another dimension leaves him powerless.;75.0;1
FLASH: REBIRTH;2010-05-23;Geoff Johns and Ethan Van Sciver;Barry Allen, the Silver Age Flash, is back from the dead. He must adjust to his return and what he learns about the Speed Force to which all the super-speedsters are linked.;19.99;6
FLASH: THE DASTARDLY DEATH OF THE ROGUES!;2011-03-06;Geoff Johns and Francis Manapul;The silver age Flash has his hands full with the Rogues, his present day foes, and the Renegades, policemen from the future who want to arrest the hero for a murder that has not yet happened.;19.99;1
FLASHPOINT;2011-11-20;Geoff Johns and Andy Kubert;When he wakes up in an alternate reality, Flash must find his nemesis the Reverse Flash and restore the proper timeline.;22.99;1
FLAT BELLY DIET!;2010-01-17;Liz Vaccariello and Cynthia Sass;Nutrition advice and workout tips from the editors of Prevention magazine.;15.99;3
FLEA MARKET FABULOUS;2014-10-05;Lara Spencer;Accessories that are discovered at yard sales and vintage shops are incorporated into imaginative decor.;nan;0
FLESH AND BLOOD;2014-11-30;Patricia Cornwell;As the Boston Marathon trial approaches, Dr. Kay Scarpetta, the chief medical examiner for the state of Massachusetts, pursues a sniper who may be a vigilante | the 22nd Scarpetta novel.;nan;4
FLEX MENTALLO: MAN OF MUSCLE MYSTERY;2012-04-29;Grant Morrison and Frank Quitely;"Before ""All-Star Superman,"" this creative team spun a yarn about Flex Mentallo, who was originally a 98-pound weakling.";22.99;3
FLIGHT BEHAVIOR;2012-11-25;Barbara Kingsolver;An Appalachian woman becomes involved in an effort to save monarch butterflies.;28.99;3
FLIRT;2010-02-21;Laurell K Hamilton;Anita Blake, vampire hunter, and the males in her life | the 18th book in the series.;23.95;2
FLORA AND ULYSSES;2013-10-20;Kate DiCamillo;An encounter with a vacuum leaves a rodent with unusual perspective and powers.;nan;45
FLOWERS OF EVIL, VOL. 1;2012-06-03;Shuzo Oshimi;Secret crushes and blackmail. It sounds like this popular manga series, reprinted for the first time in the United States, has perfectly captured high school.;10.95;1
FLY AWAY;2013-05-12;Kristin Hannah;"A brash but lonely woman must deal with her personal demons before she can keep her promise to help the family of her deceased friend | a sequel to ""Firefly Lane.""";nan;1
FLY AWAY HOME;2010-08-01;Jennifer Weiner;A senator’s extramarital affair affects his wife and daughters.;26.99;3
FLY GIRLS;2018-09-02;Keith O'Brien;nan;nan;0
FOCUS;2013-11-03;Daniel Goleman;nan;nan;0
FOLK OF THE AIR;2019-12-08;Holly Black;Jude’s quest to become the first mortal queen of the High Court of Faerie.;nan;1
